snapshot_ts,parent_event_id,fomc_decision_date,market_type,is_sparse_ctf,days_to_next_fomc,expected_bps,p_no_change,margin_over_second,n_brackets,modal_prob,modal_outcome_bps,modal_direction,distance_from_uniform,reit_index_open,reit_index_high,reit_index_low,reit_index_close,reit_index_fwd_21d_return,sora_level_realized,sora_fwd_21d_level,sora_fwd_21d_change,sora_fwd_21d_abs_change,sora_level_t2,sora_90d_change_t2,sora_3m_t2,sora_term_spread_t2
2022-08-12,901490,2022-09-21,FPMM,False,40,58.79794,0.0,0.199467,4,0.597838,50.0,hike,0.347838,1318.3035,1318.4858,1308.1858,1310.147,-0.021667,1.7601,2.3312,0.5711,0.5711,1.4935,62.61,1.3652,-0.1283
2022-08-15,901490,2022-09-21,FPMM,False,37,60.983136,0.0,0.154479,4,0.590583,50.0,hike,0.340583,1312.6315,1320.9752,1312.2896,1315.9152,-0.025142,1.925,2.1991,0.2741,0.2741,1.7252,83.39,1.3745,-0.3507
2022-08-16,901490,2022-09-21,FPMM,False,36,60.560082,0.0,0.162102,4,0.586005,50.0,hike,0.336005,1314.9073,1316.2361,1308.5696,1313.4943,-0.036509,1.9116,1.8883,-0.0233,0.0233,1.7601,38.9,1.3925,-0.3676
2022-08-17,901490,2022-09-21,FPMM,False,35,60.885319,0.0,0.123944,4,0.561514,50.0,hike,0.311514,1312.598,1314.799,1306.4456,1310.2,-0.036262,1.9236,1.7246,-0.199,0.199,1.925,101.97,1.3985,-0.5265
2022-08-18,901490,2022-09-21,FPMM,False,34,60.153245,0.0,0.186392,4,0.596216,50.0,hike,0.346216,1308.3872,1317.7457,1307.8512,1313.2104,-0.040078,1.9402,1.8667,-0.0735,0.0735,1.9116,88.17,1.4044,-0.5072
2022-08-19,901490,2022-09-21,FPMM,False,33,61.686728,0.0,0.142938,4,0.574013,50.0,hike,0.324013,1311.7915,1313.428,1302.0577,1307.4824,-0.037004,2.24,1.7493,-0.4907,0.4907,1.9236,89.37,1.4155,-0.5081
2022-08-22,901490,2022-09-21,FPMM,False,30,61.143325,0.0,0.12322,4,0.541304,50.0,hike,0.291304,1305.1683,1306.2321,1294.8744,1296.7169,-0.028539,2.2324,1.6736,-0.5588,0.5588,1.9402,77.18,1.4255,-0.5147
2022-08-23,901490,2022-09-21,FPMM,False,29,61.731779,0.0,0.057257,4,0.568134,50.0,hike,0.318134,1295.3669,1296.7581,1277.4283,1280.7793,-0.02685,2.0993,1.6232,-0.4761,0.4761,2.24,122.72,1.4636,-0.7764
2022-08-24,901490,2022-09-21,FPMM,False,28,61.848279,0.0,0.047702,4,0.517085,50.0,hike,0.267085,1280.1578,1282.1226,1270.2986,1272.2405,-0.021325,2.0684,1.9389,-0.1295,0.1295,2.2324,128.68,1.4752,-0.7572
2022-08-25,901490,2022-09-21,FPMM,False,27,61.930235,0.0,0.041254,4,0.54411,50.0,hike,0.29411,1274.1687,1281.7529,1268.097,1272.4615,-0.036269,1.8673,2.4129,0.5456,0.5456,2.0993,126.63,1.4871,-0.6122
2022-08-26,901490,2022-09-21,FPMM,False,26,64.92934,0.0,0.064592,4,0.547159,75.0,hike,0.297159,1276.2034,1283.2874,1275.5446,1279.4807,-0.064089,2.0088,2.5312,0.5224,0.5224,2.0684,123.54,1.4993,-0.5691
2022-08-29,901490,2022-09-21,FPMM,False,23,63.048153,0.0,0.060861,4,0.531121,50.0,hike,0.281121,1266.3892,1271.9669,1263.5597,1266.6432,-0.066106,2.0025,2.7578,0.7553,0.7553,1.8673,97.72,1.5106,-0.3567
2022-08-30,901490,2022-09-21,FPMM,False,22,64.543559,0.0,0.134775,4,0.59586,75.0,hike,0.34586,1267.66,1270.7,1264.6,1267.72,-0.091408,2.3441,2.7431,0.399,0.399,2.0088,137.23,1.5486,-0.4602
2022-08-31,901490,2022-09-21,FPMM,False,21,64.426116,0.0,0.123994,4,0.568182,75.0,hike,0.318182,1262.76,1264.6899,1254.45,1255.73,-0.087105,2.3098,3.8935,1.5837,1.5837,2.0025,128.38,1.5607,-0.4418
2022-09-01,901490,2022-09-21,FPMM,False,20,65.742421,0.0,0.229413,4,0.618917,75.0,hike,0.368917,1256.79,1262.76,1253.79,1256.4,-0.078216,2.1288,4.3916,2.2628,2.2628,2.3441,201.87,1.5793,-0.7648
2022-09-02,901490,2022-09-21,FPMM,False,19,68.637827,0.0,0.403887,4,0.730281,75.0,hike,0.480281,1256.52,1258.5,1249.95,1252.16,-0.0882,2.0446,3.3298,1.2852,1.2852,2.3098,198.44,1.5967,-0.7131
2022-09-05,901490,2022-09-21,FPMM,False,16,64.679141,0.0,0.142068,4,0.574698,75.0,hike,0.324698,1253.6,1261.61,1251.1,1255.33,-0.074116,2.1529,3.4719,1.319,1.319,2.1288,157.21,1.6164,-0.5124
2022-09-06,901490,2022-09-21,FPMM,False,15,65.293949,0.0,0.191924,4,0.611989,75.0,hike,0.361989,1256.64,1261.7,1252.17,1258.24,-0.065409,2.1205,3.0171,0.8966,0.8966,2.0446,160.66,1.6654,-0.3792
2022-09-07,901490,2022-09-21,FPMM,False,14,66.155541,0.0,0.26122,4,0.655471,75.0,hike,0.405471,1255.63,1264.33,1249.8199,1255.28,-0.064464,2.1104,3.051,0.9406,0.9406,2.1529,165.77,1.6828,-0.4701
2022-09-08,901490,2022-09-21,FPMM,False,13,66.798288,0.0,0.31174,4,0.670803,75.0,hike,0.420803,1260.11,1273.85,1260.11,1268.73,-0.084991,2.1779,3.3825,1.2046,1.2046,2.1205,159.63,1.7012,-0.4193
2022-09-09,901490,2022-09-21,FPMM,False,12,68.238563,0.0,0.426959,4,0.728494,75.0,hike,0.478494,1272.64,1281.51,1272.64,1276.1801,-0.103849,2.3502,2.9205,0.5703,0.5703,2.1104,158.62,1.7188,-0.3916
2022-09-12,901490,2022-09-21,FPMM,False,9,70.042861,0.0,0.554856,4,0.795496,75.0,hike,0.545496,1280.3199,1284.3101,1272.65,1281.76,-0.107571,2.3312,3.3732,1.042,1.042,2.1779,138.29,1.7369,-0.441
2022-09-13,901490,2022-09-21,FPMM,False,8,68.831978,0.0,0.54263,4,0.764921,75.0,hike,0.514921,1279.3101,1288.47,1279.3101,1282.83,-0.117225,2.1991,2.8295,0.6304,0.6304,2.3502,177.56,1.7901,-0.5601
2022-09-14,901490,2022-09-21,FPMM,False,7,77.529406,0.0,0.702431,4,0.85632,75.0,hike,0.60632,1268.12,1268.54,1262.04,1265.54,-0.118471,1.8883,3.3484,1.4601,1.4601,2.3312,188.96,1.8069,-0.5243
2022-09-15,901490,2022-09-21,FPMM,False,6,76.739707,0.0,0.761231,4,0.886941,75.0,hike,0.636941,1268.85,1270.17,1258.49,1262.6899,-0.129287,1.7246,3.1934,1.4688,1.4688,2.1991,180.08,1.8246,-0.3745
2022-09-16,901490,2022-09-21,FPMM,False,5,76.599428,0.0,0.789972,4,0.894821,75.0,hike,0.644821,1258.85,1262.38,1254.0601,1260.58,-0.1319,1.8667,3.0285,1.1618,1.1618,1.8883,149.0,1.8404,-0.0479
2022-09-19,901490,2022-09-21,FPMM,False,2,75.845453,0.0,0.793901,4,0.905183,75.0,hike,0.655183,1258.5601,1267.17,1257.13,1259.1,-0.127107,1.7493,3.131,1.3817,1.3817,1.7246,52.05,1.8549,0.1303
2022-09-20,901490,2022-09-21,FPMM,False,1,75.533934,0.0,0.836089,4,0.91139,75.0,hike,0.66139,1262.3199,1269.6899,1258.38,1259.71,-0.144216,1.6736,2.6315,0.9579,0.9579,1.8667,87.5,1.8811,0.0144
2022-09-21,901490,2022-09-21,FPMM,False,0,75.993001,0.0,0.845565,4,0.925436,75.0,hike,0.675436,1262.4301,1264.33,1246.04,1246.39,-0.132671,1.6232,3.1709,1.5477,1.5477,1.7493,33.29,1.8871,0.1378
2022-09-22,901491,2022-11-02,FPMM,False,41,67.956161,0.0,0.364947,4,0.68533,75.0,hike,0.43533,1244.24,1246.9399,1238.48,1245.11,-0.161568,1.9389,3.1748,1.2359,1.2359,1.6736,10.95,1.8945,0.2209
