market_slug,condition_id,n_ctf_trade_rows,n_ctf_distinct_tokens,min_block_ctf,max_block_ctf,n_legacy_trade_rows,n_legacy_distinct_fpmm,min_block_legacy,max_block_legacy,parent_event_id,parent_event_slug,parent_end_date_intended
will-the-fed-increase-interest-rates-by-25-bps-after-its-march-meeting,0x02ba76b36ffb6ec21751d270905a642769d1508c102b1275ca3fa46abd3a2710,836,2,40006606,40646783,104,1,38835628,40649236,901498,fed-interest-rates-march-2023,2023-03-22T00:00:00Z
will-the-fed-increase-interest-rates-by-0-bps-after-its-march-meeting,0x0ce5e4c60480605f22701180b8e9322952ca4075e321771eb756d53aed85e9a8,765,2,40011327,40646571,77,1,38835721,48807841,901498,fed-interest-rates-march-2023,2023-03-22T00:00:00Z
will-the-fed-increase-interest-rates-by-50-bps-after-its-march-meeting,0xf12d3e7a87e218e66d1442e2d5bc7a914845795c954ae76fbd2fd7303cc3b7df,525,2,40003188,40645392,106,1,38835689,69952707,901498,fed-interest-rates-march-2023,2023-03-22T00:00:00Z
will-the-fed-decrease-interest-rates-by-25-bps-after-its-march-meeting,0xf7c7f26b211e1674fd0bba3011c93bdc926fe2e0ca958783bc7eb24b2dd08d0f,115,2,40188572,40644978,27,1,38835691,69952648,901498,fed-interest-rates-march-2023,2023-03-22T00:00:00Z
will-the-fed-increase-interest-rates-by-25-bps-after-its-may-meeting,0x9876cd5626a39e33e073159b813199f48ee860c8279f67244ee085dc7a9f0b41,811,2,40648811,42264648,3,1,41252272,42268634,901497,fed-interest-rates-may-2023,2023-05-03T00:00:00Z
