market_slug,token_id
will-the-fed-decrease-interest-rates-by-25-bps-after-its-may-meeting,106894307989340759913868406556054824998948304407480823363891857716916994404948
will-the-fed-increase-interest-rates-by-0-bps-after-its-may-meeting,23650086263083463046866085460688010098893623875122636648911714629906015607279
will-the-fed-increase-interest-rates-by-0-bps-after-its-may-meeting,10471858302215688542208502268759874949544002641905802691882717205181975539961
will-the-fed-increase-interest-rates-by-25-bps-after-its-may-meeting,115350632289540754655477413035450781265287800543010890679113445883868019459501
will-the-fed-increase-interest-rates-by-25-bps-after-its-may-meeting,72247065509596322987954240702477792839614359984333109694276656335002416281376
will-the-fed-increase-interest-rates-by-50-bps-after-its-may-meeting,33261527669619336954907279704446573896925969032948558995572827246663602014042
will-the-fed-increase-interest-rates-by-50-bps-after-its-may-meeting,14238800886134206466800443936736771012962205374384524743080567563718052148260
will-the-fed-decrease-interest-rates-by-25-bps-after-its-june-meeting,114282861978311790369160272900161977936677780597424183095007804935919461239642
will-the-fed-decrease-interest-rates-by-25-bps-after-its-june-meeting,11934191160449048779978106274828670189031350400815503232856906692868968471178
will-the-fed-increase-interest-rates-by-0-bps-after-its-june-meeting,266729617100562749267909006058784162357632898821370178422514069390143526926
will-the-fed-increase-interest-rates-by-0-bps-after-its-june-meeting,33235150671247679378056035219285110987463762725240075156040276215815016790876
will-the-fed-increase-interest-rates-by-25-bps-after-its-june-meeting,46371919720488965779225806085242445574172902913658058235184931612824657677555
will-the-fed-increase-interest-rates-by-25-bps-after-its-june-meeting,76780018896872882632701611852412745012857873906197388092868688692708103064713
will-the-fed-increase-interest-rates-by-50-bps-after-its-june-meeting,31105893296768386464246015157866914932117752219806514792037241612302193020684
will-the-fed-increase-interest-rates-by-50-bps-after-its-june-meeting,76877289163747708231292474911966487227510854810754752832681582274907088283378
will-the-fed-decrease-interest-rates-by-25-bps-after-its-july-meeting,92020135237453536907195284129807192368680617072269422641652974288173376382819
will-the-fed-decrease-interest-rates-by-25-bps-after-its-july-meeting,108385365277693070090740198577596324669897099238991453926232832452421303670258
will-the-fed-raise-interest-rates-by-0-bps-after-its-july-meeting,103021485206560835357809869099701826848947174034618735275530334969109292751452
will-the-fed-raise-interest-rates-by-0-bps-after-its-july-meeting,6975999991809861958940232895743284766260716188907687944897965692448262191608
will-the-fed-raise-interest-rates-by-25-bps-after-its-july-meeting,71837948105842771948801100572467514292296135260613223864156479535311093728326
will-the-fed-raise-interest-rates-by-25-bps-after-its-july-meeting,37013402990873174408844323796921450411915591666243780863365987671074915517701
will-the-fed-raise-interest-rates-by-0-bps-after-its-september-meeting,70123190754218176276461522101850583945350866997322551252653457715680460590286
will-the-fed-raise-interest-rates-by-0-bps-after-its-september-meeting,112716164541014829079150856560443464883834773561535527138135944219634295662177
will-the-fed-raise-interest-rates-by-25-bps-after-its-september-meeting,73637917024278568699383638572664292877691949076040066040165105144568893884258
will-the-fed-raise-interest-rates-by-25-bps-after-its-september-meeting,72803341101411586378009006004155648884828886800562801344417888719890794357207
