event_key,parent_event_slug,parent_event_title,parent_series_slug,neg_risk_market_id,group_item_titles,n_markets,n_distinct_conditions,sum_volume,sum_liquidity,min_end_date,max_end_date,any_active,any_not_closed,outcome_market_slugs,top_volume_slug,slug_min,slug_max,id,condition_id,question,slug,outcomes,outcome_prices,volume,liquidity,active,closed,end_date,created_at,_fetched_at
fed-increases-interest-rates-by-25-bps-after-september-2024-meeting,,,,,,1,1,17625581.465252,0.0,2024-09-18 20:00:00+08,2024-09-18 20:00:00+08,true,false,fed-increases-interest-rates-by-25-bps-after-september-2024-meeting,fed-increases-interest-rates-by-25-bps-after-september-2024-meeting,fed-increases-interest-rates-by-25-bps-after-september-2024-meeting,fed-increases-interest-rates-by-25-bps-after-september-2024-meeting,504072,0x0a533c938200a10df86423dfbe621a2f36bfd4abc457615cf4992ed721c566bf,Fed increases interest rates by 25+ bps after September 2024 meeting?,fed-increases-interest-rates-by-25-bps-after-september-2024-meeting,"[""Yes"", ""No""]","[""0"", ""1""]",17625581.465252,0.0,true,true,2024-09-18 20:00:00+08,2024-07-25 22:50:10.874134+08,2026-02-03 22:24:48.373188
fed-decreases-interest-rates-by-50-bps-after-september-2024-meeting,,,,,,1,1,10906333.42219,0.0,2024-09-18 20:00:00+08,2024-09-18 20:00:00+08,true,false,fed-decreases-interest-rates-by-50-bps-after-september-2024-meeting,fed-decreases-interest-rates-by-50-bps-after-september-2024-meeting,fed-decreases-interest-rates-by-50-bps-after-september-2024-meeting,fed-decreases-interest-rates-by-50-bps-after-september-2024-meeting,504069,0x6cc501fa617e3a46ececf6e3990fe1afeeaa6bc897d3c7049c005fd1bdc42c2f,Fed decreases interest rates by 50+ bps after September 2024 meeting?,fed-decreases-interest-rates-by-50-bps-after-september-2024-meeting,"[""Yes"", ""No""]","[""1"", ""0""]",10906333.42219,0.0,true,true,2024-09-18 20:00:00+08,2024-07-25 22:47:42.952096+08,2026-02-03 22:24:48.373188
fed-decreases-interest-rates-by-25-bps-after-september-2024-meeting,,,,,,1,1,6660914.249885,0.0,2024-09-18 20:00:00+08,2024-09-18 20:00:00+08,true,false,fed-decreases-interest-rates-by-25-bps-after-september-2024-meeting,fed-decreases-interest-rates-by-25-bps-after-september-2024-meeting,fed-decreases-interest-rates-by-25-bps-after-september-2024-meeting,fed-decreases-interest-rates-by-25-bps-after-september-2024-meeting,504070,0x70357debf15a956d82d8b2022aaf5f868763d1d0716d2c6e5ce35712e49a3b0f,Fed decreases interest rates by 25 bps after September 2024 meeting?,fed-decreases-interest-rates-by-25-bps-after-september-2024-meeting,"[""Yes"", ""No""]","[""0"", ""1""]",6660914.249885,0.0,true,true,2024-09-18 20:00:00+08,2024-07-25 22:48:32.558007+08,2026-02-03 22:24:48.373188
fed-increases-interest-rates-by-25-bps-after-november-2024-meeting,,,,,,1,1,133955589.249666,0.0,2024-11-07 20:00:00+08,2024-11-07 20:00:00+08,true,false,fed-increases-interest-rates-by-25-bps-after-november-2024-meeting,fed-increases-interest-rates-by-25-bps-after-november-2024-meeting,fed-increases-interest-rates-by-25-bps-after-november-2024-meeting,fed-increases-interest-rates-by-25-bps-after-november-2024-meeting,504494,0x1fc1e5595adab4d8160b2fe72cfed61131e3d5e61b5c334160d1729d7380ab16,Fed increases interest rates by 25+ bps after November 2024 meeting?,fed-increases-interest-rates-by-25-bps-after-november-2024-meeting,"[""Yes"", ""No""]","[""0"", ""1""]",133955589.249666,0.0,true,true,2024-11-07 20:00:00+08,2024-08-03 03:36:17.448261+08,2026-02-03 22:24:48.865855
will-the-fed-change-rates-to-another-level-after-nov-meeting,,,,,,1,1,19150629.538967,0.0,2024-11-07 20:00:00+08,2024-11-07 20:00:00+08,true,false,will-the-fed-change-rates-to-another-level-after-nov-meeting,will-the-fed-change-rates-to-another-level-after-nov-meeting,will-the-fed-change-rates-to-another-level-after-nov-meeting,will-the-fed-change-rates-to-another-level-after-nov-meeting,507418,0x61962c3f51c9c2e4f3885da88b70d3378a822830e42df02a19c7b035737515bc,Will the FED change rates to another level after Nov meeting?,will-the-fed-change-rates-to-another-level-after-nov-meeting,"[""Yes"", ""No""]","[""0"", ""1""]",19150629.538967,0.0,true,true,2024-11-07 20:00:00+08,2024-09-19 02:03:17.068712+08,2026-02-03 22:24:51.047724
fed-decreases-interest-rates-by-75-bps-after-november-2024-meeting,,,,,,1,1,15031954.754479,0.0,2024-11-07 20:00:00+08,2024-11-07 20:00:00+08,true,false,fed-decreases-interest-rates-by-75-bps-after-november-2024-meeting,fed-decreases-interest-rates-by-75-bps-after-november-2024-meeting,fed-decreases-interest-rates-by-75-bps-after-november-2024-meeting,fed-decreases-interest-rates-by-75-bps-after-november-2024-meeting,504490,0x20e2d5f8c92270e87a3f60672a67c649e781f9c2ab8b30055ce4e2fb48c458dd,Fed decreases interest rates by 75+ bps after November 2024 meeting?,fed-decreases-interest-rates-by-75-bps-after-november-2024-meeting,"[""Yes"", ""No""]","[""0"", ""1""]",15031954.754479,0.0,true,true,2024-11-07 20:00:00+08,2024-08-03 03:28:58.198711+08,2026-02-03 22:24:48.865855
fed-decreases-interest-rates-by-50-bps-after-november-2024-meeting,,,,,,1,1,8393267.791414,0.0,2024-11-07 20:00:00+08,2024-11-07 20:00:00+08,true,false,fed-decreases-interest-rates-by-50-bps-after-november-2024-meeting,fed-decreases-interest-rates-by-50-bps-after-november-2024-meeting,fed-decreases-interest-rates-by-50-bps-after-november-2024-meeting,fed-decreases-interest-rates-by-50-bps-after-november-2024-meeting,504491,0xe4a9b98237a29e778ac5717e3d29220bb2f0c0370e8e3436d4a277853556355f,Fed decreases interest rates by 50 bps after November 2024 meeting?,fed-decreases-interest-rates-by-50-bps-after-november-2024-meeting,"[""Yes"", ""No""]","[""0"", ""1""]",8393267.791414,0.0,true,true,2024-11-07 20:00:00+08,2024-08-03 03:30:38.497246+08,2026-02-03 22:24:48.865855
no-change-in-fed-interest-rates-after-2024-november-meeting,,,,,,1,1,7995206.758932,0.0,2024-11-07 20:00:00+08,2024-11-07 20:00:00+08,true,false,no-change-in-fed-interest-rates-after-2024-november-meeting,no-change-in-fed-interest-rates-after-2024-november-meeting,no-change-in-fed-interest-rates-after-2024-november-meeting,no-change-in-fed-interest-rates-after-2024-november-meeting,504493,0x2a3a29b57597777e5d2941c419716b02a7b8c43b5c19c4ac746ae2d9c720cbe1,No change in Fed interest rates after 2024 November meeting?,no-change-in-fed-interest-rates-after-2024-november-meeting,"[""Yes"", ""No""]","[""0"", ""1""]",7995206.758932,0.0,true,true,2024-11-07 20:00:00+08,2024-08-03 03:35:38.051127+08,2026-02-03 22:24:48.865855
fed-decreases-interest-rates-by-25-bps-after-november-2024-meeting,,,,,,1,1,5010507.074128,0.0,2024-11-07 20:00:00+08,2024-11-07 20:00:00+08,true,false,fed-decreases-interest-rates-by-25-bps-after-november-2024-meeting,fed-decreases-interest-rates-by-25-bps-after-november-2024-meeting,fed-decreases-interest-rates-by-25-bps-after-november-2024-meeting,fed-decreases-interest-rates-by-25-bps-after-november-2024-meeting,504492,0x3d31558105899ab4025075b92cfb127fae4be0e9644a6895466aa50e2de37e72,Fed decreases interest rates by 25 bps after November 2024 meeting?,fed-decreases-interest-rates-by-25-bps-after-november-2024-meeting,"[""Yes"", ""No""]","[""1"", ""0""]",5010507.074128,0.0,true,true,2024-11-07 20:00:00+08,2024-08-03 03:31:18.861489+08,2026-02-03 22:24:48.865855
fed-decreases-interest-rates-by-75-bps-after-december-2024-meeting,,,,,,1,1,13304399.0156328,0.0,2024-12-18 20:00:00+08,2024-12-18 20:00:00+08,true,false,fed-decreases-interest-rates-by-75-bps-after-december-2024-meeting,fed-decreases-interest-rates-by-75-bps-after-december-2024-meeting,fed-decreases-interest-rates-by-75-bps-after-december-2024-meeting,fed-decreases-interest-rates-by-75-bps-after-december-2024-meeting,504584,0xde507497bdd5d63090dfd8e6e29167216c66576bf8d029d87c99bef4e357c696,Fed decreases interest rates by 75+ bps after December 2024 meeting?,fed-decreases-interest-rates-by-75-bps-after-december-2024-meeting,"[""Yes"", ""No""]","[""0"", ""1""]",13304399.0156328,0.0,true,true,2024-12-18 20:00:00+08,2024-08-07 00:06:01.725999+08,2026-02-03 22:24:48.865855
