parent_event_id,parent_event_slug,parent_event_title,parent_series_slug,parent_end_date_intended,parent_end_date_actual_resolution,market_slug,group_item_title,group_item_threshold,closed,end_date,created_at,_fetched_at,token_id,in_observed_export,token_map_status
901489,fed-interest-rates-july-2022,Fed Interest Rates July 2022,fed-interest-rates,2022-07-27T00:00:00Z,2023-03-22T18:40:42.742Z,will-the-fed-set-interest-rates-above-2pt00-after-their-scheduled-july-meeting,Above 2.00% after July meeting? (50 bps or more),2,True,2022-07-27T00:00:00Z,2022-06-10T15:51:41.932Z,,4.38517585860193E+076,1,ok
901489,fed-interest-rates-july-2022,Fed Interest Rates July 2022,fed-interest-rates,2022-07-27T00:00:00Z,2023-03-22T18:40:42.742Z,will-the-fed-set-interest-rates-above-2pt00-after-their-scheduled-july-meeting,Above 2.00% after July meeting? (50 bps or more),2,True,2022-07-27T00:00:00Z,2022-06-10T15:51:41.932Z,,3.82524247519024E+076,1,ok
901489,fed-interest-rates-july-2022,Fed Interest Rates July 2022,fed-interest-rates,2022-07-27T00:00:00Z,2023-03-22T18:40:42.742Z,will-the-fed-set-interest-rates-above-2pt25-after-their-scheduled-july-meeting,Above 2.25% after July meeting? (75 bps or more),3,True,2022-07-27T00:00:00Z,2022-06-14T20:39:45.109Z,,6.00589666720183E+076,1,ok
901489,fed-interest-rates-july-2022,Fed Interest Rates July 2022,fed-interest-rates,2022-07-27T00:00:00Z,2023-03-22T18:40:42.742Z,will-the-fed-set-interest-rates-above-2pt25-after-their-scheduled-july-meeting,Above 2.25% after July meeting? (75 bps or more),3,True,2022-07-27T00:00:00Z,2022-06-14T20:39:45.109Z,,7.35118275224451E+076,1,ok
901489,fed-interest-rates-july-2022,Fed Interest Rates July 2022,fed-interest-rates,2022-07-27T00:00:00Z,2023-03-22T18:40:42.742Z,will-the-fed-set-interest-rates-above-2pt50-100-bips-or-more-after-their-scheduled-july-meeting,Above 2.50% after July meeting? (100 bps or more),4,True,2022-07-27T00:00:00Z,2022-06-15T19:02:37.191Z,,9.81598635364591E+076,1,ok
901489,fed-interest-rates-july-2022,Fed Interest Rates July 2022,fed-interest-rates,2022-07-27T00:00:00Z,2023-03-22T18:40:42.742Z,will-the-fed-set-interest-rates-above-2pt50-100-bips-or-more-after-their-scheduled-july-meeting,Above 2.50% after July meeting? (100 bps or more),4,True,2022-07-27T00:00:00Z,2022-06-15T19:02:37.191Z,,1.06563477720399E+077,1,ok
901490,fed-interest-rates-september-2022,Fed Interest Rates September 2022,fed-interest-rates,2022-09-21T00:00:00Z,2023-03-22T18:42:57.896Z,will-the-fed-increase-interest-rates-by-25-bps-after-their-september-meeting,25 bps increase after September meeting? ,12,True,2022-09-21T00:00:00Z,2022-07-28T16:15:07.657Z,,2.12617568617842E+076,1,ok
901490,fed-interest-rates-september-2022,Fed Interest Rates September 2022,fed-interest-rates,2022-09-21T00:00:00Z,2023-03-22T18:42:57.896Z,will-the-fed-increase-interest-rates-by-25-bps-after-their-september-meeting,25 bps increase after September meeting? ,12,True,2022-09-21T00:00:00Z,2022-07-28T16:15:07.657Z,,1.04558034281444E+075,1,ok
901490,fed-interest-rates-september-2022,Fed Interest Rates September 2022,fed-interest-rates,2022-09-21T00:00:00Z,2023-03-22T18:42:57.896Z,will-the-fed-increase-interest-rates-by-50-bps-after-their-september-meeting,50 bps increase after September meeting? ,14,True,2022-09-21T00:00:00Z,2022-07-27T21:25:55.666Z,,,1,missing_slug_in_map
901490,fed-interest-rates-september-2022,Fed Interest Rates September 2022,fed-interest-rates,2022-09-21T00:00:00Z,2023-03-22T18:42:57.896Z,will-the-fed-increase-interest-rates-by-75-bps-after-their-september-meeting,75 bps increase after September meeting? ,15,True,2022-09-21T00:00:00Z,2022-07-27T21:04:54.351Z,,3.06497187939911E+076,1,ok
901490,fed-interest-rates-september-2022,Fed Interest Rates September 2022,fed-interest-rates,2022-09-21T00:00:00Z,2023-03-22T18:42:57.896Z,will-the-fed-increase-interest-rates-by-75-bps-after-their-september-meeting,75 bps increase after September meeting? ,15,True,2022-09-21T00:00:00Z,2022-07-27T21:04:54.351Z,,8.78958459532921E+076,1,ok
901490,fed-interest-rates-september-2022,Fed Interest Rates September 2022,fed-interest-rates,2022-09-21T00:00:00Z,2023-03-22T18:42:57.896Z,will-the-fed-increase-interest-rates-by-100-bps-after-their-september-meeting,100 bps increase after September meeting? ,16,True,2022-09-21T00:00:00Z,2022-07-27T23:25:50.673Z,,6.33439390077929E+076,1,ok
901490,fed-interest-rates-september-2022,Fed Interest Rates September 2022,fed-interest-rates,2022-09-21T00:00:00Z,2023-03-22T18:42:57.896Z,will-the-fed-increase-interest-rates-by-100-bps-after-their-september-meeting,100 bps increase after September meeting? ,16,True,2022-09-21T00:00:00Z,2022-07-27T23:25:50.673Z,,2.32129760271203E+076,1,ok
