snapshot_ts,ticker,car_63d,car_sign_consistency,car_acceleration,expected_bps,sora_level_t2,reit_index_lag_21d_return,reit_index_lag_63d_return,reit_index_vol_21d,reit_index_vol_63d,reit_index_drawdown_63d,is_A17U,is_AJBU,is_BTOU,is_BUOU,is_C38U,is_CMOU,is_J69U,is_M1GU,is_M44U,is_ME8U,is_N2IU,is_OXMU,is_T82U,y_true
2023-02-03,N2IU,-0.0002193104,-5.5582746e-05,0.00084346335,-0.002355252,-6.3960135e-05,0.00011541309,-0.00035765296,-0.0003903443,0.0013430569,0.00017149508,0.0,0.0,0.0012833866,0.0,0.0,0.0004524779,0.0,0.0,0.0,0.0,0.0,0.00070957467,0.0,0.016069068287411836
2023-02-06,OXMU,-0.0009790686,-0.0015902536,0.00054878485,-0.012492834,-6.3960135e-05,0.00017458873,-0.00035765296,-0.0003903443,0.0016370078,0.00017149508,0.0,0.0,0.0012695162,0.0,0.0,0.00014340245,0.0,0.0,0.0,0.0,0.0,-0.013192792,0.0,-0.200862233835826
2023-02-09,A17U,6.35603e-05,-0.00012041222,0.00082822074,-0.0022715935,4.8007405e-06,0.00011541309,-0.00035765296,-0.00040663913,0.0012262278,-5.370225e-05,0.0,0.0,0.0012864901,0.0,0.0,0.0004524779,0.0,0.0,0.0,0.0,0.0,0.00070957467,0.0,0.024848034896061383
2023-02-13,N2IU,0.00031211256,-0.00012041222,0.00084353785,-0.0024825018,8.259534e-06,0.00011541309,-0.00035765296,-0.00012067014,0.0012886865,-0.0004010763,0.0,0.0,0.0012290162,0.0,0.0,0.0004524779,0.0,0.0,0.0,0.0,0.0,0.00070957467,0.0,0.02113157417098975
2023-02-16,BTOU,-0.013124988,-1.9696035e-05,0.002710397,-0.017969394,-0.00074323895,-0.0007932959,6.3835134e-05,0.0068533705,-0.002887591,-0.0015965529,0.0,0.0,-0.0134420395,0.0,0.0,0.00019650691,0.0,0.0,0.0,0.0,0.0,0.00023869985,0.0,-0.0219397660018171
2023-02-28,CMOU,-0.01588359,-5.5582746e-05,0.0019307592,-0.01132162,0.00043535142,-0.0009859105,-0.00035279675,-0.0028666928,-0.0047519105,-0.0023625526,0.0,0.0,0.0017119473,0.0,0.0,-0.0037933965,0.0,0.0,0.0,0.0,0.0,0.00054152054,0.0,0.018792729570643256
2023-03-02,BUOU,0.0018943051,-0.00012041222,0.0020360998,-0.002675481,5.5589197e-05,-0.0009859105,-0.00024015161,-0.00040663913,-0.0003278877,-0.0004869621,0.0,0.0,0.0015554018,0.0,0.0,0.0004524779,0.0,0.0,0.0,0.0,0.0,0.0007263355,0.0,0.037590644656243385
2023-03-08,BUOU,0.0018061703,-0.00012041222,0.000783963,-0.002385142,-0.00014296515,-0.0006173317,-0.00025780575,-0.000374707,-0.00032309134,0.000454926,0.0,0.0,0.0014800843,0.0,0.0,0.00044674106,0.0,0.0,0.0,0.0,0.0,0.0007263355,0.0,0.03376477975451242
2023-03-08,J69U,0.0018061703,-0.00012041222,0.000783963,-0.002385142,-0.00014296515,-0.0006173317,-0.00025780575,-0.000374707,-0.00032309134,0.000454926,0.0,0.0,0.0014800843,0.0,0.0,0.00044674106,0.0,0.0,0.0,0.0,0.0,0.0007263355,0.0,0.039690001973249275
2023-03-08,M1GU,0.001759502,-0.00012041222,0.00083174894,-0.002385142,-0.00014296515,-0.0006173317,-0.00025780575,-0.000374707,-0.00032309134,0.000454926,0.0,0.0,0.0014789667,0.0,0.0,0.00044674106,0.0,0.0,0.0,0.0,0.0,0.0007263355,0.0,0.057426781464074865
2023-03-09,ME8U,0.001759502,-0.00012041222,0.00083174894,-0.002385142,-0.00014296515,-0.0006173317,-0.00025780575,-0.000374707,-0.00032309134,0.000454926,0.0,0.0,0.0014789667,0.0,0.0,0.00044674106,0.0,0.0,0.0,0.0,0.0,0.0007263355,0.0,0.00865562400429584
