snapshot_ts,sora_term_spread_t2,expected_bps,p_no_change,margin_over_second,days_to_next_fomc,p_no_change_missing,margin_over_second_missing,expected_bps_minus_sora_90d,sora_curve_steepness,sora_lag_21d_diff,sora_lag_63d_diff,sora_lag_10d_diff,sora_lag_5d_diff,sora_realized_vol_21d,sora_realized_vol_63d,sora_below_63d_peak,sora_dist_from_63d_ma,sora_accel_21d
2025-02-03,-0.011324901,-0.017806271,0.0035491353,-0.009289552,0.0071147406,0.0,0.0,0.008352603,0.0015257081,-0.12721442,0.005078866,-0.008049091,0.027653959,0.03318441,-0.017287869,-0.019746142,0.012050142,-0.040319037
2025-02-04,0.008814153,-0.023169288,0.0031427909,0.0022437016,0.008274538,0.0,0.0,-0.0018458753,0.0015257081,0.0055028833,0.009456743,-0.07157646,0.024121923,-0.006345099,-0.018397443,-0.0069499444,0.020012805,-0.017650336
2025-02-05,0.010245018,-0.023186464,0.0023993705,0.0050238897,0.008274538,0.0,0.0,0.008839995,0.00095858786,0.04079959,0.009456743,0.009006538,0.023552844,-0.01264831,-0.01793304,-0.005044015,0.020346133,0.0029901026
2025-02-06,0.010245018,-0.023186464,0.0023993705,0.0050238897,0.008274538,0.0,0.0,0.008839995,0.00095858786,0.04079959,0.008490888,0.0076534958,0.023552844,-0.011295267,-0.01793304,-0.005044015,0.021311987,0.0029901026
2025-02-07,-0.0046842787,-0.024998503,0.0019930261,-0.0024852115,0.0058985096,0.0,0.0,-0.003295003,0.00095858786,0.036550146,0.0022059204,0.0076534958,0.035758667,-0.010261579,-0.01793304,-0.005044015,0.023683893,0.0053605866
2025-02-10,0.0027712558,-0.014554859,0.0042483704,-0.016435787,0.0065385005,0.0,0.0,-0.0154703325,0.0015166355,0.03623428,0.0066942414,0.05464393,0.008625942,-0.008365066,-0.018357644,-0.0013779863,0.01355134,0.0053605866
2025-02-11,0.0027712558,-0.021813154,0.0042483704,-0.016435787,0.0058985096,0.0,0.0,-0.0154703325,0.0015166355,0.038498852,0.0075722653,0.05599697,0.036607925,-0.010767047,-0.018357644,-0.00080890924,0.0180372,0.0053605866
2025-02-12,0.0027712558,-0.006872544,0.0042483704,-0.016435787,0.0072216787,0.0,0.0,-0.0154703325,0.0015166355,0.03623428,0.0076600946,0.05599697,0.0055423323,-0.009718108,-0.017433362,-0.00080890924,0.012585488,0.0053605866
2025-02-13,0.0027712558,0.00019284018,0.004910701,-0.016435787,0.0077900914,0.0,0.0,-0.0026388923,0.0015166355,0.03623428,0.0076600946,0.05599697,0.007344857,-0.009718108,-0.019019974,-0.00080890924,0.0129009625,0.0053605866
2025-02-14,0.0027712558,-0.0005191714,0.004910701,-0.015580002,0.0077900914,0.0,0.0,-0.0026388923,0.0015166355,0.03902848,0.0066942414,0.036809765,0.00720761,-0.009718108,-0.019019974,-0.0010207978,0.013866815,0.0053605866
2025-02-17,0.0027712558,0.002751541,0.004910701,-0.016435787,0.0077900914,0.0,0.0,-0.0026388923,0.0015166355,0.036269046,0.008142721,0.05599697,0.036607925,-0.010767047,-0.019019974,-0.00080890924,0.012917194,0.0053605866
2025-02-18,0.002718408,0.012707908,0.0056332415,-0.014255263,0.0077900914,0.0,0.0,-0.013938538,0.0020837558,0.0066854507,0.004143322,0.008692609,0.0046930737,-0.009426582,-0.017953837,-0.0010207978,0.016102262,-0.038978655
2025-02-19,-0.0046842787,0.011829665,0.0056332415,-0.014255263,0.0077900914,0.0,0.0,-0.013938538,0.0020837558,-0.07381178,0.008527104,0.008692609,0.0064955982,-0.009426582,-0.018878119,-0.0014827407,0.010796442,-0.03941744
2025-02-20,0.002718408,0.011829665,0.0056332415,-0.014255263,0.0077900914,0.0,0.0,-0.0011897646,0.0020837558,-0.07381178,0.007982121,0.008692609,0.0064955982,-0.009426582,-0.018878119,-0.0014827407,0.011835911,-0.03941744
2025-02-21,0.0027712558,0.0017894637,0.0056332415,-0.014255263,0.0077900914,0.0,0.0,-0.0011897646,0.0020837558,0.007178914,0.0076600946,0.03266874,0.0064955982,-0.008579007,-0.021816682,-0.0010207978,0.0129009625,-0.0074135503
2025-02-24,0.0027712558,-0.0035733765,0.0060604652,-0.015580002,0.0072216787,0.0,0.0,-0.014723332,0.0015166355,0.03902848,0.0066942414,0.036809765,0.0064955982,-0.009718108,-0.021816682,-0.0010207978,0.01355134,-0.0074135503
