snapshot_ts,ticker,car_63d,car_sign_consistency,car_acceleration,expected_bps,sora_level_t2,car_window_recent,car_window_mid,car_window_old,sora_90d_change_t2,sora_3m_t2,sora_term_spread_t2,reit_index_lag_21d_return,reit_index_lag_63d_return,reit_index_vol_21d,reit_index_vol_63d,reit_index_drawdown_63d,y_true
2023-04-28,N2IU,0.0011919761,-0.0010962647,0.0022052734,0.0010388328,-0.000120857876,0.0077246935,0.00069732784,-0.00017562213,0.0014494887,-0.0045294478,-0.0006388743,3.482613e-05,0.00041559688,-0.0017422892,-0.0018423862,0.0012938166,-0.007089826051658643
2023-05-02,M1GU,-0.0013871496,-0.00010006717,-0.00013711504,0.0019783843,-0.002444258,0.00017868237,-0.0029469826,0.0038004876,-0.00061787484,-0.004932039,0.0031733813,-0.00070600794,0.0001407464,-0.0001645563,0.0002829526,0.0022820155,-0.012481397494464074
2023-05-03,C38U,0.00030446376,-0.00025935017,-0.00030906012,-0.0008714684,-0.0029483405,-0.00084789115,-0.0045989826,0.0078190295,-0.0003478883,-0.006058139,0.002279266,0.00079464546,-8.809041e-05,0.00336423,-5.2832376e-05,0.0020022052,0.008070623578033464
2023-05-04,C38U,0.00039150004,-0.00045707,-0.0011426858,-0.0013897619,-0.0013440032,-0.0016614953,-0.005782263,0.0049534384,-0.00056329893,-0.0058920654,0.0014499128,0.0001288846,-0.000383066,0.0014898211,9.377022e-05,0.0030603434,0.01620294265666003
2023-05-10,T82U,-0.0013213813,0.00016642302,0.0075325537,0.0004329038,-0.00045102526,0.0029318035,-0.0028831488,-0.0043948595,0.0016404531,-0.0021536401,0.00035125378,0.00034022902,0.00010491005,-0.006803329,0.0024177688,-0.0019835418,-0.02717852621926021
2023-05-11,A17U,0.0011418323,0.0016948864,-0.0040236097,3.7620557e-06,-0.0005621934,0.00091976643,-0.0017407686,-0.0050886846,0.0009904766,-0.0046644146,-0.0004214922,0.0011331514,-0.0010574805,-0.006165683,0.0060473727,-0.0019590065,-0.04033530390011576
2023-05-11,J69U,0.0029098252,5.949744e-05,0.000450992,-0.00024894037,-0.0024582003,0.0037860987,-0.0015306941,-0.0046976204,0.00036979615,-0.0023908454,-0.00023371489,0.0011552859,-0.00078489643,-0.0047517,0.0045234556,-0.0012276171,0.022156506348018076
2023-05-18,C38U,0.0061828867,0.0019899022,-0.00369453,-0.0003205124,0.0004553823,-0.0020318632,3.2696073e-05,-0.0047428166,-0.0012760498,-0.0071749226,0.0010262952,0.000118544056,-2.2117945e-05,-0.0038340744,0.0023264198,-0.00081038516,-0.005664457495227393
2023-05-23,N2IU,0.0037763934,-0.0003827482,0.0044125877,-0.0010711224,-0.002045547,0.0012107352,6.990407e-05,-0.0033534837,-0.00043347207,-0.0024804564,0.0005383263,0.001561164,-0.0013017295,-0.005959961,0.00050485047,-0.00085373403,-0.01765338112524943
2023-05-23,T82U,-0.0023114644,-0.0005251666,0.007022735,0.00076462515,-0.0013608153,0.0035383145,0.0015041847,-0.0053850333,-0.00038487508,-0.002291211,-0.0005408815,0.0027020087,-0.0019493919,-0.0056878733,0.00037639326,-0.0019661442,-0.02486962307846198
2023-06-01,BUOU,-0.00058316387,-0.00018040767,0.0022862917,0.00039215808,-0.0051311464,-0.0010961456,-0.0027253227,-0.005382282,0.0010629682,-0.0024711222,0.00067814783,0.0008213081,-0.0014866502,-0.0030125843,0.0021545405,0.0007935765,-0.01669096961264581
2023-06-09,AJBU,0.009115636,-0.00015136405,0.0036046635,-0.0008707574,-0.0026222325,-0.00095763325,0.0062014316,-0.002409299,-0.00050099683,0.0020053964,3.832623e-05,0.000598761,-0.00019766936,-0.0020801495,0.0016578294,0.00085873925,0.04613846644368246
2023-06-12,BUOU,0.005785415,-0.00010503539,0.001383229,-0.0006899672,-0.0042593936,-0.00092103635,0.0034336594,-0.008554437,-0.00085546705,0.0006472411,0.00010701517,0.0016784423,-0.0010777825,-0.0046577724,-0.0003996588,0.0012844196,0.007349539157246905
2023-06-12,T82U,-0.0050303494,-0.0003355069,0.0013241967,-0.0005963025,-0.003530709,0.0063379705,0.0015913529,-7.02053e-05,-0.0018077067,-0.004562316,0.00022921698,0.004204149,-0.0014003151,-0.0006649966,0.0016770944,0.001293157,-0.024066367099124082
2023-06-14,ME8U,-0.006503671,9.277504e-06,0.0022524286,-0.0024217437,-0.0009837539,-0.003118007,0.00111898,0.0015472932,-0.0012939769,-0.00268245,-0.0018995961,0.0030094066,7.7770404e-05,0.00045204718,0.0022371178,-0.00036741575,-0.01106476765812171
